03/19 05:59:43 PM | Epoch[20] (34048/50000):	Loss 0.2928	Accuracy 90.30%		Time 0.21s
03/19 05:59:43 PM | Epoch[20] (38912/50000):	Loss 0.2978	Accuracy 90.17%		Time 0.21s
03/19 05:59:43 PM | Epoch[20] (43776/50000):	Loss 0.3008	Accuracy 90.07%		Time 0.21s
03/19 05:59:44 PM | Epoch[20] (48640/50000):	Loss 0.3014	Accuracy 90.02%		Time 0.21s
03/19 05:59:44 PM | Test Loss 0.5003	Accuracy 83.77%		Time 0.33s

03/19 05:59:45 PM | Epoch[21] (4864/50000):	Loss 0.2664	Accuracy 91.39%		Time 0.32s
03/19 05:59:45 PM | Epoch[21] (9728/50000):	Loss 0.2728	Accuracy 91.00%		Time 0.21s
03/19 05:59:45 PM | Epoch[21] (14592/50000):	Loss 0.2783	Accuracy 90.75%		Time 0.21s
03/19 05:59:45 PM | Epoch[21] (19456/50000):	Loss 0.2897	Accuracy 90.39%		Time 0.21s
03/19 05:59:45 PM | Epoch[21] (24320/50000):	Loss 0.2939	Accuracy 90.27%		Time 0.21s
03/19 05:59:46 PM | Epoch[21] (29184/50000):	Loss 0.2940	Accuracy 90.23%		Time 0.21s
03/19 05:59:46 PM | Epoch[21] (34048/50000):	Loss 0.2946	Accuracy 90.25%		Time 0.21s
03/19 05:59:46 PM | Epoch[21] (38912/50000):	Loss 0.2926	Accuracy 90.35%		Time 0.21s
03/19 05:59:46 PM | Epoch[21] (43776/50000):	Loss 0.2943	Accuracy 90.28%		Time 0.21s
03/19 05:59:46 PM | Epoch[21] (48640/50000):	Loss 0.2956	Accuracy 90.21%		Time 0.21s
03/19 05:59:47 PM | Test Loss 0.4674	Accuracy 84.62%		Time 0.33s

03/19 05:59:47 PM | Epoch[22] (4864/50000):	Loss 0.3205	Accuracy 89.36%		Time 0.34s
03/19 05:59:47 PM | Epoch[22] (9728/50000):	Loss 0.2992	Accuracy 90.08%		Time 0.21s
03/19 05:59:48 PM | Epoch[22] (14592/50000):	Loss 0.2960	Accuracy 90.21%		Time 0.21s
03/19 05:59:48 PM | Epoch[22] (19456/50000):	Loss 0.3019	Accuracy 90.06%		Time 0.21s
03/19 05:59:48 PM | Epoch[22] (24320/50000):	Loss 0.3056	Accuracy 89.86%		Time 0.21s
03/19 05:59:48 PM | Epoch[22] (29184/50000):	Loss 0.3036	Accuracy 89.97%		Time 0.21s
03/19 05:59:49 PM | Epoch[22] (34048/50000):	Loss 0.3044	Accuracy 89.96%		Time 0.21s
03/19 05:59:49 PM | Epoch[22] (38912/50000):	Loss 0.3067	Accuracy 89.87%		Time 0.21s
03/19 05:59:49 PM | Epoch[22] (43776/50000):	Loss 0.3103	Accuracy 89.71%		Time 0.21s
03/19 05:59:49 PM | Epoch[22] (48640/50000):	Loss 0.3104	Accuracy 89.71%		Time 0.21s
03/19 05:59:50 PM | Test Loss 0.4904	Accuracy 84.15%		Time 0.33s

03/19 05:59:50 PM | Epoch[23] (4864/50000):	Loss 0.3213	Accuracy 89.55%		Time 0.30s
